source_record	motif_id	source_name	tax_id	source_species	source_type	tf_class	tf_family	width	mean_column_total	source_file	sha256	retrieval_url	retrieved_on	redistribution_posture	development_exposure	matrix_source_pmid	validation_pmids	uniprot_accession
MA0014.4	PAX5	PAX5	9606	Homo sapiens	ChIP-seq	Paired box factors	Paired domain only	8	1412	MA0014.4.jaspar	58344dab85bcfb2c7398c33c12bd02aa4e6bb8caeb8f7730948d1edcc30f487b	https://jaspar.elixir.no/api/v1/matrix/MA0014.4.jaspar	2026-08-29	CC-BY-4.0	fresh	not_recorded	not_recorded	not_recorded
MA0060.4	NFYA	NFYA	9606	Homo sapiens	ChIP-seq	Heteromeric CCAAT-binding factors	Heteromeric CCAAT-binding	8	4825	MA0060.4.jaspar	5541d9aa0b5464e9c170364504e91088814c8c58aea065138698be0e8810ddbf	https://jaspar.elixir.no/api/v1/matrix/MA0060.4.jaspar	2026-08-29	CC-BY-4.0	fresh	not_recorded	not_recorded	not_recorded
MA0931.2	ABI5	ABI5	3702	Arabidopsis thaliana	PBM	Basic leucine zipper factors (bZIP)	Group A	8	999.75	MA0931.2.jaspar	d2a98a8653a23b453164dfb5e38bc4996242002110cb2a41c4c33efbaadf156e	https://jaspar.elixir.no/api/v1/matrix/MA0931.2.jaspar	2026-08-29	CC-BY-4.0	fresh	not_recorded	not_recorded	not_recorded
MA0561.1	PIF4	PIF4	3702	Arabidopsis thaliana	ChIP-seq	Basic helix-loop-helix factors (bHLH)	bHLH	8	335	MA0561.1.jaspar	b6106e169e855def8306f6f94802b4611b25968e8fdaf1ae1ba8ac0688ae9742	https://jaspar.elixir.no/api/v1/matrix/MA0561.1.jaspar	2026-08-29	CC-BY-4.0	fresh	not_recorded	not_recorded	not_recorded
MA0022.1	DL	dl	7227	Drosophila melanogaster	SELEX	Rel homology region (RHR) factors		12	13	MA0022.1.jaspar	52d342f33c87fe2585ee8b115aef3be091a6f04008734c200e23a31ff2d3a7ab	https://jaspar.elixir.no/api/v1/matrix/MA0022.1.jaspar	2026-08-29	CC-BY-4.0	fresh	not_recorded	not_recorded	not_recorded
MA0249.3	TWI	twi	7227	Drosophila melanogaster	ChIP-seq	Basic helix-loop-helix factors (bHLH)	Tal-related	7	2896	MA0249.3.jaspar	c06c5592dd3db7cb39f24347f3f3e94fd2fcf333d43ff9054f8505cbef4cde68	https://jaspar.elixir.no/api/v1/matrix/MA0249.3.jaspar	2026-08-29	CC-BY-4.0	fresh	not_recorded	not_recorded	not_recorded
MA0942.2	ARF1	ARF1	3702	Arabidopsis thaliana	PBM	B3	ARF	7	1000.2857142857143	MA0942.2.jaspar	dd20e1b657907cb1e641848bba91199dce9da9dfa599b58c9560b009a4f8d624	https://jaspar.elixir.no/api/v1/matrix/MA0942.2.jaspar	2026-09-09	CC-BY-4.0	fresh	24485461	9188533	Q8L7G0
MA0565.3	FUS3	FUS3	3702	Arabidopsis thaliana	DAP-seq	B3	LAV	7	1146	MA0565.3.jaspar	363748322fddf15d2e86a17609788f6407d09663537fc7cc03c3bef1a78dbde7	https://jaspar.elixir.no/api/v1/matrix/MA0565.3.jaspar	2026-09-09	CC-BY-4.0	fresh	27203113	23314941	Q9LW31
MA1199.1	AGL16	AGL16	3702	Arabidopsis thaliana	DAP-seq	MADS box factors	Type II	15	418	MA1199.1.jaspar	8471d22881b94c674fb710c4e3d7bdf573eaa573f583b511f4474428f2cc8431	https://jaspar.elixir.no/api/v1/matrix/MA1199.1.jaspar	2026-09-09	CC-BY-4.0	fresh	27203113	12743119	A2RVQ5
MA1012.1	AGL27	AGL27	3702	Arabidopsis thaliana	ChIP-seq	MADS box factors	Type II	14	142	MA1012.1.jaspar	1696b3ecf782249101f92fa1bf73c89fd2c3011ad7cb80bd9a6e3cc43663c791	https://jaspar.elixir.no/api/v1/matrix/MA1012.1.jaspar	2026-09-09	CC-BY-4.0	fresh	25361952	24067612	Q9AT76
MA1258.2	DREB2A	DREB2A	3702	Arabidopsis thaliana	DAP-seq	AP2/EREBP	ERF/DREB	9	581	MA1258.2.jaspar	53e1c15516db299b5e77792d2c5113542d7de6a7bd75bb34588a8d29f810a9f1	https://jaspar.elixir.no/api/v1/matrix/MA1258.2.jaspar	2026-09-09	CC-BY-4.0	fresh	27203113	9952441	O82132
MA0992.3	ERF4	ERF4	3702	Arabidopsis thaliana	DAP-seq	AP2/EREBP	ERF/DREB	9	1023	MA0992.3.jaspar	b85c5d73f9656e7e5080292995c88d7a5f02b58eb06f91742a86162b08e961e6	https://jaspar.elixir.no/api/v1/matrix/MA0992.3.jaspar	2026-09-09	CC-BY-4.0	fresh	27203113	9756931	O80340
MA1040.1	MYB46	MYB46	3702	Arabidopsis thaliana	PBM	Tryptophan cluster factors	MYB	8	1000.125	MA1040.1.jaspar	b3a01210ac8997f8b5a0d5e3e1a408b9fc482687cce8b5a78fefbb007165780c	https://jaspar.elixir.no/api/v1/matrix/MA1040.1.jaspar	2026-09-09	CC-BY-4.0	fresh	24477691	22197883	Q9LXV2
MA1779.2	MYB83	MYB83	3702	Arabidopsis thaliana	DAP-seq	Tryptophan cluster factors	MYB	8	1000	MA1779.2.jaspar	e8975a909011d51d9c27159b16eee601d3f330d9f07632706ed396e9cdec70d1	https://jaspar.elixir.no/api/v1/matrix/MA1779.2.jaspar	2026-09-09	CC-BY-4.0	fresh	27203113	25220462	Q9C6U1
MA1786.2	NAC019	NAC019	3702	Arabidopsis thaliana	PBM	GCM domain factors	NAC	7	1000	MA1786.2.jaspar	e5f543c6c75a3cd5e5474dce195a2642ffd1c1770f8d7029bc6a691e4085dcc4	https://jaspar.elixir.no/api/v1/matrix/MA1786.2.jaspar	2026-09-09	CC-BY-4.0	fresh	24914054	27203113	Q9C932
MA0937.1	NAC055	NAC055	3702	Arabidopsis thaliana	PBM	GCM domain factors	NAC	8	999.875	MA0937.1.jaspar	88ab96e9766d9b7ce0fb3cad0ec3d0fe7a81c6a9db49d9c9f38aa270b5873612	https://jaspar.elixir.no/api/v1/matrix/MA0937.1.jaspar	2026-09-09	CC-BY-4.0	fresh	24477691	24914054	Q9LDY8
MA1301.2	WRKY33	WRKY33	3702	Arabidopsis thaliana	DAP-seq	GCM domain factors	WRKY	10	598	MA1301.2.jaspar	dc91cc31059e8fe6408a5c9b49c7410e132ee4404acd58e2c3b9528d2bac5f03	https://jaspar.elixir.no/api/v1/matrix/MA1301.2.jaspar	2026-09-09	CC-BY-4.0	fresh	27203113	11449049	Q8S8P5
MA1308.2	WRKY70	WRKY70	3702	Arabidopsis thaliana	DAP-seq	GCM domain factors	WRKY	10	599	MA1308.2.jaspar	882e8303881a48b1e986595098831082484c077e9b4f75b178a25fce420c2ff3	https://jaspar.elixir.no/api/v1/matrix/MA1308.2.jaspar	2026-09-09	CC-BY-4.0	fresh	27203113	11449049	Q9LY00
