# This table contains site-level occupancy values (IPOD-HR robust z-scores) for all IPOD-HR detectable,,,,,
#   TFBSs annotated in RegulonDB (downloaded May 2018),,,,,
# Column definitions:,,,,,
#   condition: The physiological condition under study,,,,,
#   startloc/endloc: 1-indexed start and end location of the site (open right interval),,,,,
#   occupancy: The robust z-score of peak occupancy in the site under the specified condition,,,,,
#   regulator: TF annotated to bind the site,,,,,
#   target: Regulatory target of binding, if known,,,,
condition,startloc,endloc,occupancy,regulator,target
lexa,42188,42209,4.500684,CRP,fixABCX
purr,42188,42209,4.119599,CRP,fixABCX
stat,42188,42209,2.022036,CRP,fixABCX
argr,42188,42209,-0.179949,CRP,fixABCX
rdmglu,42188,42209,3.975575,CRP,fixABCX
min,42200,42215,1.994705,CaiF,fixABCX
lexa,42200,42215,4.500684,CaiF,fixABCX
purr,42200,42215,4.119599,CaiF,fixABCX
stat,42200,42215,2.022036,CaiF,fixABCX
argr,42200,42215,-0.179949,CaiF,fixABCX
rdmglu,42200,42215,3.975575,CaiF,fixABCX
min,42200,42215,1.994705,CaiF,caiTABCDE
lexa,42200,42215,4.500684,CaiF,caiTABCDE
purr,42200,42215,4.119599,CaiF,caiTABCDE
stat,42200,42215,2.022036,CaiF,caiTABCDE
argr,42200,42215,-0.179949,CaiF,caiTABCDE
rdmglu,42200,42215,3.975575,CaiF,caiTABCDE
min,42238,42253,1.98839,CaiF,caiTABCDE
lexa,42238,42253,3.620702,CaiF,caiTABCDE
purr,42238,42253,3.746451,CaiF,caiTABCDE
stat,42238,42253,1.592879,CaiF,caiTABCDE
argr,42238,42253,0.241322,CaiF,caiTABCDE
rdmglu,42238,42253,3.246683,CaiF,caiTABCDE
min,42238,42253,1.98839,CaiF,fixABCX
lexa,42238,42253,3.620702,CaiF,fixABCX
purr,42238,42253,3.746451,CaiF,fixABCX
stat,42238,42253,1.592879,CaiF,fixABCX
argr,42238,42253,0.241322,CaiF,fixABCX
rdmglu,42238,42253,3.246683,CaiF,fixABCX
min,42245,42266,2.259203,CRP,fixABCX
lexa,42245,42266,4.253941,CRP,fixABCX
purr,42245,42266,3.738786,CRP,fixABCX
stat,42245,42266,1.592879,CRP,fixABCX
argr,42245,42266,0.368679,CRP,fixABCX
rdmglu,42245,42266,3.421193,CRP,fixABCX
min,42257,42272,2.537909,CaiF,fixABCX
lexa,42257,42272,4.253941,CaiF,fixABCX
purr,42257,42272,3.910227,CaiF,fixABCX
stat,42257,42272,1.558586,CaiF,fixABCX
argr,42257,42272,0.368679,CaiF,fixABCX
rdmglu,42257,42272,3.421193,CaiF,fixABCX
min,42257,42272,2.537909,CaiF,caiTABCDE
lexa,42257,42272,4.253941,CaiF,caiTABCDE
purr,42257,42272,3.910227,CaiF,caiTABCDE
stat,42257,42272,1.558586,CaiF,caiTABCDE
argr,42257,42272,0.368679,CaiF,caiTABCDE
rdmglu,42257,42272,3.421193,CaiF,caiTABCDE
min,65834,65853,0.834875,LexA,polB
lexa,65834,65853,0.444828,LexA,polB
purr,65834,65853,2.078788,LexA,polB
stat,65834,65853,0.085685,LexA,polB
argr,65834,65853,1.679696,LexA,polB
rdmglu,65834,65853,1.659212,LexA,polB
min,70110,70126,2.432704,AraC,araBAD
lexa,70110,70126,1.067213,AraC,araBAD
purr,70110,70126,0.512462,AraC,araBAD
stat,70110,70126,0.002301,AraC,araBAD
argr,70110,70126,-0.210825,AraC,araBAD
rdmglu,70110,70126,1.217259,AraC,araBAD
min,70110,70126,2.432704,AraC,araC
lexa,70110,70126,1.067213,AraC,araC
purr,70110,70126,0.512462,AraC,araC
stat,70110,70126,0.002301,AraC,araC
argr,70110,70126,-0.210825,AraC,araC
rdmglu,70110,70126,1.217259,AraC,araC
min,70131,70147,2.483101,AraC,araBAD
lexa,70131,70147,1.150474,AraC,araBAD
purr,70131,70147,1.044726,AraC,araBAD
stat,70131,70147,0.492823,AraC,araBAD
argr,70131,70147,0.118795,AraC,araBAD
rdmglu,70131,70147,1.892856,AraC,araBAD
min,70131,70147,2.483101,AraC,araC
lexa,70131,70147,1.150474,AraC,araC
purr,70131,70147,1.044726,AraC,araC
stat,70131,70147,0.492823,AraC,araC
argr,70131,70147,0.118795,AraC,araC
rdmglu,70131,70147,1.892856,AraC,araC
min,70131,70147,2.483101,AraC,araBAD
lexa,70131,70147,1.150474,AraC,araBAD
purr,70131,70147,1.044726,AraC,araBAD
stat,70131,70147,0.492823,AraC,araBAD
argr,70131,70147,0.118795,AraC,araBAD
rdmglu,70131,70147,1.892856,AraC,araBAD
min,70131,70147,2.483101,AraC,araC
lexa,70131,70147,1.150474,AraC,araC
purr,70131,70147,1.044726,AraC,araC
stat,70131,70147,0.492823,AraC,araC
argr,70131,70147,0.118795,AraC,araC
rdmglu,70131,70147,1.892856,AraC,araC
min,70158,70179,2.057419,CRP,araBAD
lexa,70158,70179,0.963041,CRP,araBAD
purr,70158,70179,1.886138,CRP,araBAD
stat,70158,70179,0.238502,CRP,araBAD
argr,70158,70179,0.871725,CRP,araBAD
rdmglu,70158,70179,1.722133,CRP,araBAD
min,70158,70179,2.057419,CRP,araC
lexa,70158,70179,0.963041,CRP,araC
purr,70158,70179,1.886138,CRP,araC
stat,70158,70179,0.238502,CRP,araC
argr,70158,70179,0.871725,CRP,araC
rdmglu,70158,70179,1.722133,CRP,araC
min,84014,84034,4.468001,LeuO,leuO
lexa,84014,84034,4.870603,LeuO,leuO
purr,84014,84034,3.423823,LeuO,leuO
stat,84014,84034,4.244517,LeuO,leuO
argr,84014,84034,1.424743,LeuO,leuO
rdmglu,84014,84034,2.70059,LeuO,leuO
min,84040,84060,4.614471,LeuO,leuO
lexa,84040,84060,4.560316,LeuO,leuO
purr,84040,84060,2.632694,LeuO,leuO
stat,84040,84060,4.155574,LeuO,leuO
argr,84040,84060,-0.085659,LeuO,leuO
rdmglu,84040,84060,3.26964,LeuO,leuO
min,84085,84099,2.407218,H-NS,leuO
lexa,84085,84099,5.700738,H-NS,leuO
purr,84085,84099,1.945666,H-NS,leuO
stat,84085,84099,1.40461,H-NS,leuO
argr,84085,84099,0.353219,H-NS,leuO
rdmglu,84085,84099,4.390443,H-NS,leuO
min,84085,84099,2.407218,H-NS,leuO
lexa,84085,84099,5.700738,H-NS,leuO
purr,84085,84099,1.945666,H-NS,leuO
stat,84085,84099,1.40461,H-NS,leuO
argr,84085,84099,0.353219,H-NS,leuO
rdmglu,84085,84099,4.390443,H-NS,leuO
min,84099,84119,2.401021,LeuO,leuO
lexa,84099,84119,5.444194,LeuO,leuO
purr,84099,84119,2.117285,LeuO,leuO
stat,84099,84119,2.368159,LeuO,leuO
argr,84099,84119,0.871365,LeuO,leuO
rdmglu,84099,84119,4.038172,LeuO,leuO
min,84122,84142,2.727181,LeuO,leuO
lexa,84122,84142,4.69694,LeuO,leuO
purr,84122,84142,1.795581,LeuO,leuO
stat,84122,84142,3.425141,LeuO,leuO
argr,84122,84142,3.655343,LeuO,leuO
rdmglu,84122,84142,4.458329,LeuO,leuO
min,84122,84142,2.727181,LeuO,leuO
lexa,84122,84142,4.69694,LeuO,leuO
purr,84122,84142,1.795581,LeuO,leuO
stat,84122,84142,3.425141,LeuO,leuO
argr,84122,84142,3.655343,LeuO,leuO
rdmglu,84122,84142,4.458329,LeuO,leuO
min,84236,84255,3.023968,RcsB-BglJ,leuO
lexa,84236,84255,4.469387,RcsB-BglJ,leuO
purr,84236,84255,4.477021,RcsB-BglJ,leuO
stat,84236,84255,3.670838,RcsB-BglJ,leuO
argr,84236,84255,-0.795669,RcsB-BglJ,leuO
rdmglu,84236,84255,4.240858,RcsB-BglJ,leuO
min,85341,85355,4.660666,Lrp,ilvIH
lexa,85341,85355,3.758538,Lrp,ilvIH
purr,85341,85355,3.712008,Lrp,ilvIH
stat,85341,85355,4.439146,Lrp,ilvIH
argr,85341,85355,4.183373,Lrp,ilvIH
rdmglu,85341,85355,3.536912,Lrp,ilvIH
min,85341,85355,4.660666,Lrp,ilvIH
lexa,85341,85355,3.758538,Lrp,ilvIH
purr,85341,85355,3.712008,Lrp,ilvIH
stat,85341,85355,4.439146,Lrp,ilvIH
argr,85341,85355,4.183373,Lrp,ilvIH
rdmglu,85341,85355,3.536912,Lrp,ilvIH
min,85372,85386,3.438071,Lrp,ilvIH
lexa,85372,85386,3.871316,Lrp,ilvIH
purr,85372,85386,5.039257,Lrp,ilvIH
stat,85372,85386,2.879196,Lrp,ilvIH
argr,85372,85386,1.812949,Lrp,ilvIH
rdmglu,85372,85386,3.421615,Lrp,ilvIH
min,85372,85386,3.438071,Lrp,ilvIH
lexa,85372,85386,3.871316,Lrp,ilvIH
purr,85372,85386,5.039257,Lrp,ilvIH
stat,85372,85386,2.879196,Lrp,ilvIH
argr,85372,85386,1.812949,Lrp,ilvIH
rdmglu,85372,85386,3.421615,Lrp,ilvIH
min,85453,85467,1.369192,Lrp,ilvIH
lexa,85453,85467,0.342774,Lrp,ilvIH
purr,85453,85467,0.916462,Lrp,ilvIH
stat,85453,85467,2.765529,Lrp,ilvIH
argr,85453,85467,-1.502954,Lrp,ilvIH
rdmglu,85453,85467,0.656936,Lrp,ilvIH
min,85453,85467,1.369192,Lrp,ilvIH
lexa,85453,85467,0.342774,Lrp,ilvIH
purr,85453,85467,0.916462,Lrp,ilvIH
stat,85453,85467,2.765529,Lrp,ilvIH
argr,85453,85467,-1.502954,Lrp,ilvIH
rdmglu,85453,85467,0.656936,Lrp,ilvIH
min,85488,85502,2.721837,Lrp,ilvIH
lexa,85488,85502,-0.110374,Lrp,ilvIH
purr,85488,85502,1.290218,Lrp,ilvIH
stat,85488,85502,2.558779,Lrp,ilvIH
argr,85488,85502,-0.661075,Lrp,ilvIH
rdmglu,85488,85502,0.380505,Lrp,ilvIH
min,85488,85502,2.721837,Lrp,ilvIH
lexa,85488,85502,-0.110374,Lrp,ilvIH
purr,85488,85502,1.290218,Lrp,ilvIH
stat,85488,85502,2.558779,Lrp,ilvIH
argr,85488,85502,-0.661075,Lrp,ilvIH
rdmglu,85488,85502,0.380505,Lrp,ilvIH
min,85517,85531,3.694364,Lrp,ilvIH
lexa,85517,85531,0.225827,Lrp,ilvIH
purr,85517,85531,1.904713,Lrp,ilvIH
stat,85517,85531,3.976408,Lrp,ilvIH
argr,85517,85531,0.128937,Lrp,ilvIH
rdmglu,85517,85531,0.63837,Lrp,ilvIH
min,85517,85531,3.694364,Lrp,ilvIH
lexa,85517,85531,0.225827,Lrp,ilvIH
purr,85517,85531,1.904713,Lrp,ilvIH
stat,85517,85531,3.976408,Lrp,ilvIH
argr,85517,85531,0.128937,Lrp,ilvIH
rdmglu,85517,85531,0.63837,Lrp,ilvIH
min,85537,85551,2.22814,Lrp,ilvIH
lexa,85537,85551,0.825044,Lrp,ilvIH
purr,85537,85551,2.180279,Lrp,ilvIH
stat,85537,85551,2.335581,Lrp,ilvIH
argr,85537,85551,0.455581,Lrp,ilvIH
rdmglu,85537,85551,1.095624,Lrp,ilvIH
min,85537,85551,2.22814,Lrp,ilvIH
lexa,85537,85551,0.825044,Lrp,ilvIH
purr,85537,85551,2.180279,Lrp,ilvIH
stat,85537,85551,2.335581,Lrp,ilvIH
argr,85537,85551,0.455581,Lrp,ilvIH
rdmglu,85537,85551,1.095624,Lrp,ilvIH
min,102695,102712,5.38315,SdiA,ftsQAZ
lexa,102695,102712,1.214616,SdiA,ftsQAZ
purr,102695,102712,2.203238,SdiA,ftsQAZ
stat,102695,102712,2.542229,SdiA,ftsQAZ
argr,102695,102712,5.056758,SdiA,ftsQAZ
rdmglu,102695,102712,1.99892,SdiA,ftsQAZ
min,102697,102714,5.38315,SdiA,ftsQAZ
lexa,102697,102714,1.214616,SdiA,ftsQAZ
purr,102697,102714,2.042214,SdiA,ftsQAZ
stat,102697,102714,2.542229,SdiA,ftsQAZ
argr,102697,102714,4.605666,SdiA,ftsQAZ
rdmglu,102697,102714,1.891652,SdiA,ftsQAZ
min,102697,102714,5.38315,SdiA,ftsQ
lexa,102697,102714,1.214616,SdiA,ftsQ
purr,102697,102714,2.042214,SdiA,ftsQ
stat,102697,102714,2.542229,SdiA,ftsQ
argr,102697,102714,4.605666,SdiA,ftsQ
rdmglu,102697,102714,1.891652,SdiA,ftsQ
min,102843,102860,1.606145,SdiA,ftsQAZ
lexa,102843,102860,-0.067461,SdiA,ftsQAZ
purr,102843,102860,1.72197,SdiA,ftsQAZ
stat,102843,102860,3.213016,SdiA,ftsQAZ
argr,102843,102860,1.200206,SdiA,ftsQAZ
rdmglu,102843,102860,1.112741,SdiA,ftsQAZ
min,103511,103524,1.521289,RcsB,ftsAZ
lexa,103511,103524,1.639743,RcsB,ftsAZ
purr,103511,103524,1.848669,RcsB,ftsAZ
stat,103511,103524,0.349531,RcsB,ftsAZ
argr,103511,103524,3.598711,RcsB,ftsAZ
rdmglu,103511,103524,0.775782,RcsB,ftsAZ
min,121840,121857,-1.026016,Cra,aroP
lexa,121840,121857,2.01173,Cra,aroP
purr,121840,121857,2.015534,Cra,aroP
stat,121840,121857,-0.633228,Cra,aroP
argr,121840,121857,-2.523309,Cra,aroP
rdmglu,121840,121857,1.413871,Cra,aroP
min,121840,121857,-1.026016,Cra,aroP
lexa,121840,121857,2.01173,Cra,aroP
purr,121840,121857,2.015534,Cra,aroP
stat,121840,121857,-0.633228,Cra,aroP
argr,121840,121857,-2.523309,Cra,aroP
rdmglu,121840,121857,1.413871,Cra,aroP
min,121840,121857,-1.026016,Cra,pdhR-aceEF-lpd
lexa,121840,121857,2.01173,Cra,pdhR-aceEF-lpd
purr,121840,121857,2.015534,Cra,pdhR-aceEF-lpd
stat,121840,121857,-0.633228,Cra,pdhR-aceEF-lpd
argr,121840,121857,-2.523309,Cra,pdhR-aceEF-lpd
rdmglu,121840,121857,1.413871,Cra,pdhR-aceEF-lpd
min,121941,121962,-0.727554,CRP,pdhR-aceEF-lpd
lexa,121941,121962,1.325899,CRP,pdhR-aceEF-lpd
purr,121941,121962,3.418837,CRP,pdhR-aceEF-lpd
stat,121941,121962,1.376133,CRP,pdhR-aceEF-lpd
argr,121941,121962,1.316534,CRP,pdhR-aceEF-lpd
rdmglu,121941,121962,2.675848,CRP,pdhR-aceEF-lpd
min,121953,121974,-0.594079,CRP,pdhR-aceEF-lpd
lexa,121953,121974,0.841566,CRP,pdhR-aceEF-lpd
purr,121953,121974,3.849181,CRP,pdhR-aceEF-lpd
stat,121953,121974,0.535521,CRP,pdhR-aceEF-lpd
argr,121953,121974,2.29085,CRP,pdhR-aceEF-lpd
rdmglu,121953,121974,2.855679,CRP,pdhR-aceEF-lpd
min,121961,121982,0.438164,CRP,pdhR-aceEF-lpd
lexa,121961,121982,1.388981,CRP,pdhR-aceEF-lpd
purr,121961,121982,4.430462,CRP,pdhR-aceEF-lpd
stat,121961,121982,0.535521,CRP,pdhR-aceEF-lpd
argr,121961,121982,4.650163,CRP,pdhR-aceEF-lpd
rdmglu,121961,121982,3.336572,CRP,pdhR-aceEF-lpd
min,121973,121994,4.299975,CRP,pdhR-aceEF-lpd
lexa,121973,121994,2.855768,CRP,pdhR-aceEF-lpd
purr,121973,121994,6.889152,CRP,pdhR-aceEF-lpd
stat,121973,121994,0.272776,CRP,pdhR-aceEF-lpd
argr,121973,121994,7.694547,CRP,pdhR-aceEF-lpd
rdmglu,121973,121994,4.810552,CRP,pdhR-aceEF-lpd
min,121977,121990,1.461445,FNR,pdhR-aceEF-lpd
lexa,121977,121990,1.882804,FNR,pdhR-aceEF-lpd
purr,121977,121990,4.430462,FNR,pdhR-aceEF-lpd
stat,121977,121990,0.19663,FNR,pdhR-aceEF-lpd
argr,121977,121990,5.057004,FNR,pdhR-aceEF-lpd
rdmglu,121977,121990,3.449501,FNR,pdhR-aceEF-lpd
min,122044,122060,1.884938,PdhR,pdhR-aceEF-lpd
lexa,122044,122060,-0.252675,PdhR,pdhR-aceEF-lpd
purr,122044,122060,3.184729,PdhR,pdhR-aceEF-lpd
stat,122044,122060,-1.361267,PdhR,pdhR-aceEF-lpd
argr,122044,122060,5.17593,PdhR,pdhR-aceEF-lpd
rdmglu,122044,122060,1.643429,PdhR,pdhR-aceEF-lpd
min,122883,122893,8.462155,NsrR,aceEF
lexa,122883,122893,6.815912,NsrR,aceEF
purr,122883,122893,8.217655,NsrR,aceEF
stat,122883,122893,5.739104,NsrR,aceEF
argr,122883,122893,7.103713,NsrR,aceEF
rdmglu,122883,122893,7.920687,NsrR,aceEF
min,161570,161591,0.540174,CRP,sfsA-dksA
lexa,161570,161591,1.042723,CRP,sfsA-dksA
purr,161570,161591,1.560253,CRP,sfsA-dksA
stat,161570,161591,0.049594,CRP,sfsA-dksA
argr,161570,161591,1.633975,CRP,sfsA-dksA
rdmglu,161570,161591,2.332928,CRP,sfsA-dksA
min,167430,167448,1.114851,Fur,fhuACDB
lexa,167430,167448,0.669878,Fur,fhuACDB
purr,167430,167448,-0.821457,Fur,fhuACDB
stat,167430,167448,8.118886,Fur,fhuACDB
argr,167430,167448,-1.387852,Fur,fhuACDB
rdmglu,167430,167448,-0.089006,Fur,fhuACDB
min,222732,222747,-0.623006,MetJ,metNIQ
lexa,222732,222747,-1.606761,MetJ,metNIQ
purr,222732,222747,1.713128,MetJ,metNIQ
stat,222732,222747,-1.929477,MetJ,metNIQ
argr,222732,222747,2.645531,MetJ,metNIQ
rdmglu,222732,222747,0.424351,MetJ,metNIQ
min,243385,243399,-1.004574,ArcA,fadE
lexa,243385,243399,0.278744,ArcA,fadE
purr,243385,243399,-0.296337,ArcA,fadE
stat,243385,243399,5.53506,ArcA,fadE
argr,243385,243399,-1.197697,ArcA,fadE
rdmglu,243385,243399,-0.250665,ArcA,fadE
min,246517,246536,2.10689,LexA,dinJ-yafQ
lexa,246517,246536,0.963205,LexA,dinJ-yafQ
purr,246517,246536,1.627279,LexA,dinJ-yafQ
stat,246517,246536,-0.072233,LexA,dinJ-yafQ
argr,246517,246536,2.022151,LexA,dinJ-yafQ
rdmglu,246517,246536,1.737862,LexA,dinJ-yafQ
min,246519,246534,2.10689,DinJ-YafQ,dinJ-yafQ
lexa,246519,246534,0.963205,DinJ-YafQ,dinJ-yafQ
purr,246519,246534,1.612389,DinJ-YafQ,dinJ-yafQ
stat,246519,246534,-0.099977,DinJ-YafQ,dinJ-yafQ
argr,246519,246534,1.938999,DinJ-YafQ,dinJ-yafQ
rdmglu,246519,246534,1.709362,DinJ-YafQ,dinJ-yafQ
min,251958,251977,3.551846,LexA,yafNOP
lexa,251958,251977,4.68198,LexA,yafNOP
purr,251958,251977,1.766352,LexA,yafNOP
stat,251958,251977,1.784906,LexA,yafNOP
argr,251958,251977,2.758847,LexA,yafNOP
rdmglu,251958,251977,2.076404,LexA,yafNOP
min,260181,260199,0.064558,PhoB,phoE
lexa,260181,260199,2.106382,PhoB,phoE
purr,260181,260199,-0.473939,PhoB,phoE
stat,260181,260199,2.722435,PhoB,phoE
argr,260181,260199,-2.98541,PhoB,phoE
rdmglu,260181,260199,-0.676584,PhoB,phoE
min,290354,290371,0.739732,ArgR,argF
lexa,290354,290371,2.527879,ArgR,argF
purr,290354,290371,1.203896,ArgR,argF
stat,290354,290371,1.169658,ArgR,argF
argr,290354,290371,-1.687382,ArgR,argF
rdmglu,290354,290371,0.761378,ArgR,argF
min,312784,312806,1.970562,Zur,ykgMO
lexa,312784,312806,4.093904,Zur,ykgMO
purr,312784,312806,3.309733,Zur,ykgMO
stat,312784,312806,0.075062,Zur,ykgMO
argr,312784,312806,4.19944,Zur,ykgMO
rdmglu,312784,312806,3.21547,Zur,ykgMO
min,313316,313337,3.209455,CRP,ykgR
lexa,313316,313337,4.404462,CRP,ykgR
purr,313316,313337,4.249273,CRP,ykgR
stat,313316,313337,1.86499,CRP,ykgR
argr,313316,313337,1.2673,CRP,ykgR
rdmglu,313316,313337,4.155997,CRP,ykgR
min,329416,329430,0.270215,ArcA,betT
lexa,329416,329430,2.387347,ArcA,betT
purr,329416,329430,0.995914,ArcA,betT
stat,329416,329430,0.559844,ArcA,betT
argr,329416,329430,0.312933,ArcA,betT
rdmglu,329416,329430,1.50598,ArcA,betT
min,329428,329442,1.268896,ArcA,betIBA
lexa,329428,329442,2.705338,ArcA,betIBA
purr,329428,329442,0.910077,ArcA,betIBA
stat,329428,329442,0.176588,ArcA,betIBA
argr,329428,329442,0.202609,ArcA,betIBA
rdmglu,329428,329442,1.057409,ArcA,betIBA
min,329428,329442,1.268896,ArcA,betT
lexa,329428,329442,2.705338,ArcA,betT
purr,329428,329442,0.910077,ArcA,betT
stat,329428,329442,0.176588,ArcA,betT
argr,329428,329442,0.202609,ArcA,betT
rdmglu,329428,329442,1.057409,ArcA,betT
min,331672,331695,4.188377,PdeL,pdeL
lexa,331672,331695,5.389279,PdeL,pdeL
