gene,accession,gene_product,cog,ratio_cAmp,ratio_RpoS
cspC,b1823,cold shock protein,Stress response,4.2,
cutC,b1874,copper homeostasis protein,Stress response,4.5,
"bfrb,d,e,h",b3336,"bacterioferrin, an iron storage homoprotein",Stress response,5.1,14.3
dcrB,b3472,Resistant to lytic phage C1,Stress response,,-3.2**
uspB,b3494,universal stress protein B,Stress response,3.7,
uspA,b3495,universal stress protein A,Stress response,4,
"hdeBb,e",b3509,periplasmic protein,Stress response,,32.9*
hdeAe,b3510,periplasmic chaperon of acid-denaturared proteins,Stress response,,23
creD,b4400,tolerance to colicin E2,Stress response,-3.6**,
"rpsVb,d,e,h",b1480,30S ribosomal subunit protein S22,Protein processing,9.8,17
pheT,b1713,"phenylalanine tRNA synthetase, beta-subunit",Protein processing,6.1,
yfiAg,b2597,Stationary phase translation inhibitor,Protein processing,6.7,
rpmJ,b3299,50S ribosomal subunit protein L36,Protein processing,3.8,
hisG,b2019,ATP phosphoribosyltransferase,Amino acids biosynthesis,4.2,
hisC,b2021,histidinol-phosphate aminotransferase,Amino acids biosynthesis,4.6,
aroC,b2329,chorismate synthase,Amino acids biosynthesis,7.9,
"ivbLf,g",b3672,ilvB operon leader peptide,Amino acids biosynthesis,5.2,
apbA,b0425,"involved in thiamin biosynthesis, pyrimidine biosynthesis",Nucleotide biosynthesis,-8.5**,-6.6**
purM,b2499,phosphoribosylaminoimidazole synthetase = AIR synthetase,Nucleotide biosynthesis,-4.1**,
purN,b2500,phosphoribosylglycinamide formyltransferase 1,Nucleotide biosynthesis,-3.0**,
"deoCe,f,g",b4381,2-deoxyribose-5-phosphate aldolase,Nucleotide biosynthesis,-3.9,
trs5_1,b0259,IS5 transposase,Miscellaneous functions,5.2,
ycjK,b1297,putative glutamine synthetase (EC 6.3.1.2),Miscellaneous functions,,-3.4*
ycjL,b1298,probable amidotransferase subunit,Miscellaneous functions,,-4.0*
rzpR,b1362,putative Rac prophage endopeptidase,Miscellaneous functions,-4.5**,-4.5**
ynaK,b1365,Rac prophage,Miscellaneous functions,-3.5**,-3.1**
rsmC,b4371,16S RNA m2G1207 methylase,Miscellaneous functions,-4.1**,-3.8**
yaaA,b0006,"orf, hypothetical protein",Unknown or hypothetical functions,,5
"yahOd,e",b0329,"orf, hypothetical protein",Unknown or hypothetical functions,14.7,7.8
ybaB,b0471,"orf, hypothetical protein",Unknown or hypothetical functions,,-5.3**
ybaK,b0481,"orf, hypothetical protein",Unknown or hypothetical functions,-7.5**,-6.4**
ybaS,b0485,putative glutaminase,Unknown or hypothetical functions,,-3.7*
ybeD,b0631,"orf, hypothetical protein",Unknown or hypothetical functions,,-3
ybeL,b0643,putative alpha helical protein,Unknown or hypothetical functions,8.1,
ybfB,b0702,"orf, hypothetical protein",Unknown or hypothetical functions,-22.3**,-24.5**
"ybgAd,h",b0707,"orf, hypothetical protein",Unknown or hypothetical functions,,8
yccV,b0966,"orf, hypothetical protein",Unknown or hypothetical functions,5.3,4.8
yccW,b0967,putative methyltransferase,Unknown or hypothetical functions,,-3.1**
yccMi,b0992,putative ferredoxin-type protein,Unknown or hypothetical functions,-3.2**,
ycdP,b1021,putative membrane protein,Unknown or hypothetical functions,-3.0**,5.3
ymdB,b1045,putative polyprotein,Unknown or hypothetical functions,5.2,
grxB,b1064,glutaredoxin 2,Unknown or hypothetical functions,5.4,
ycfHe,b1100,putative hydrolase,Unknown or hypothetical functions,6,8.8
"ychHf,i",b1205,"orf, hypothetical protein",Unknown or hypothetical functions,6.8,
ymjA,b1295,"orf, hypothetical protein",Unknown or hypothetical functions,,-4.1*
ydbD,b1407,"orf, hypothetical protein",Unknown or hypothetical functions,-4.9**,-3.8**
ydcX,b1445,"orf, hypothetical protein",Unknown or hypothetical functions,,5.4
yncH,b1455,"orf, hypothetical protein",Unknown or hypothetical functions,-3.3**,-3.3*
yneC,b1518,"orf, hypothetical protein",Unknown or hypothetical functions,4.1,
ynfAd,b1582,putative transmembrane protein,Unknown or hypothetical functions,8.7,11.3
ydgAh,b1614,"orf, hypothetical protein",Unknown or hypothetical functions,,7
"ydiZd,e",b1724,"orf, hypothetical protein",Unknown or hypothetical functions,5.4,8.9
yeaCg,b1777,"orf, hypothetical protein",Unknown or hypothetical functions,3.8,
"yeaGe,h",b1783,"orf, hypothetical protein",Unknown or hypothetical functions,13.1,22.2
yobF,b1824,"orf, hypothetical protein",Unknown or hypothetical functions,5.2,
yebV,b1836,"orf, hypothetical protein",Unknown or hypothetical functions,,23.9
yebW,b1837,"orf, hypothetical protein",Unknown or hypothetical functions,,5.1
yodDe,b1953,"orf, hypothetical protein",Unknown or hypothetical functions,4,7.5
yeeIi,b1976,"orf, hypothetical protein",Unknown or hypothetical functions,23.3*,
wbbK,b2032,putative glucose transferase,Unknown or hypothetical functions,4.1,
"elaBe,h",b2266,"orf, hypothetical protein",Unknown or hypothetical functions,,7.7
yfbN,b2273,"orf, hypothetical protein",Unknown or hypothetical functions,,-3.0**
yfdY,b2377,"orf, hypothetical protein",Unknown or hypothetical functions,5,
ucpAi,b2426,putative oxidoreductase,Unknown or hypothetical functions,3.6,
yfiLh,b2602,"orf, hypothetical protein",Unknown or hypothetical functions,,6
yfjO,b2631,"orf, hypothetical protein",Unknown or hypothetical functions,4.1,8
"ygaFd,g,h",b2660,"orf, hypothetical protein",Unknown or hypothetical functions,6.1,5
ygaMh,b2672,"orf, hypothetical protein",Unknown or hypothetical functions,4.3,8.6
ygaD,b2700,"orf, hypothetical protein",Unknown or hypothetical functions,4.8,
ygdH,b2795,"orf, hypothetical protein",Unknown or hypothetical functions,4.1,
ygfJ,b2877,"orf, hypothetical protein",Unknown or hypothetical functions,32.6*,10
glcG,b2977,"orf, hypothetical protein",Unknown or hypothetical functions,,-5.1
yqiB,b3033,putative enzyme,Unknown or hypothetical functions,5.3,
"yqjCd,e",b3097,"orf, hypothetical protein",Unknown or hypothetical functions,3.8,6.9
yhcOe,b3239,"orf, hypothetical protein",Unknown or hypothetical functions,,6.1
smg,b3284,"orf, hypothetical protein",Unknown or hypothetical functions,5.7,
yjbB,b4020,putative alpha helix protein,Unknown or hypothetical functions,-3.6**,
"yjbAg,i",b4030,putative membrane protein,Unknown or hypothetical functions,-6.2**,
yjcBi,b4060,"orf, hypothetical protein",Unknown or hypothetical functions,-3.4**,
"yjcHf,i",b4068,"orf, hypothetical protein",Unknown or hypothetical functions,9.1,
phnBh,b4107,"orf, hypothetical protein",Unknown or hypothetical functions,,6.8
yjdK,b4128,"orf, hypothetical protein",Unknown or hypothetical functions,-3.2**,
yjfN,b4188,"orf, hypothetical protein",Unknown or hypothetical functions,10.7,
yjfO,b4189,"orf, hypothetical protein",Unknown or hypothetical functions,63.3*,-3.4
ytfI,b4215,"orf, hypothetical protein",Unknown or hypothetical functions,-5.1**,
ytfJ,b4216,"orf, hypothetical protein",Unknown or hypothetical functions,9,
yjgW,b4274,"orf, hypothetical protein",Unknown or hypothetical functions,-3.5**,-5.9*
